constituency_id,year,Private_renters,Social_renters,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,White,Asian,Black,Mixed,con_pre_ge_adjusted,lab_pre_ge_adjusted,lib_pre_ge_adjusted,oth_pre_ge_adjusted,con_share_prev,mean_con_share_ge,lab_share_prev,mean_lab_share_ge,lib_share_prev,mean_lib_share_ge,oth_share_prev,mean_oth_share_ge,party,votes
W07000049,2010,0.1096685699836517,0.2034298917727607,0.1068,0.1242,0.1226999999999999,0.1245999999999999,0.1446,0.1311,0.1148999999999999,0.0778,0.9779180257,0.011437575,0.0027858222,0.0067739917999999,0.11858987274655353,0.46175892684394954,0.17256647205519896,0.13137741515099996,0.102,0.3079183673469388,0.6,0.3651255886970173,0.138,0.215916797488226,0.16,0.1108257456828885,con_votes,4411.0
W07000049,2015,0.1286660885146863,0.2038086031826111,0.1128,0.1094999999999999,0.1232,0.1293,0.1289,0.1422,0.1209,0.0812,0.9676619672,0.016775215,0.0036753361999999,0.0095725628,0.13776608976864851,0.5765132366635625,0.06665207907387023,0.3273522975929977,0.142,0.3463261538461538,0.519,0.30068,0.163,0.2249892307692307,0.176,0.12796,con_votes,3742.0
W07000049,2017,0.1362650959271001,0.2039600877465514,0.1133,0.1125999999999999,0.1193999999999999,0.1336999999999999,0.1242,0.141,0.1201,0.0836,0.9635595438,0.018910271,0.0040311418,0.0106919912,0.1432896049330472,0.5730618483969586,0.044613265264778615,0.17279004771229534,0.119,0.3562784615384615,0.489,0.3140184615384615,0.044,0.0759415384615384,0.348,0.2537646153846153,con_votes,5901.0
W07000049,2019,0.143864103339514,0.2041115723104915,0.1118,0.1152,0.1186999999999999,0.133,0.1227999999999999,0.1389,0.1191,0.0878999999999999,0.9594571204,0.021045327,0.0043869474,0.0118114196,0.18458364353782014,0.5559898759462927,0.030840875142781863,0.1308108070312827,0.177,0.4132923076923077,0.681,0.4066476923076923,0.018,0.070036923076923,0.123,0.1100138461538461,con_votes,6518.0
W07000049,2024,0.1628616218705485,0.204490283720342,0.1028,0.1241999999999999,0.1302,0.133,0.1188,0.1293999999999999,0.1235999999999999,0.0934,0.9492010619,0.026382967,0.0052764614,0.0146099906,,,,,0.206,0.4274707692307692,0.538,0.32828,0.034,0.1084323076923076,0.222,0.1358107692307692,con_votes,
W07000058,2010,0.1636039792762786,0.1213576645035129,0.0959999999999999,0.1131,0.0952999999999999,0.0998,0.146,0.1319,0.1438,0.1017,0.9789256368,0.0085721283,0.0016532714,0.0081897046,0.3243781813361612,0.2855209364318421,0.25009633631188255,0.12316632670406247,0.279,0.3079183673469388,0.371,0.3651255886970173,0.2,0.215916797488226,0.15,0.1108257456828885,con_votes,10734.0
W07000058,2015,0.1730979084307509,0.1216819242327491,0.099,0.1017,0.1011,0.0972,0.1273,0.1448,0.1429,0.108,0.9761701828,0.0096714268,0.0019839194,0.0092512866,0.3473257756139167,0.2721497938007183,0.07891933289114696,0.3794310722100655,0.358,0.3463261538461538,0.245,0.30068,0.193,0.2249892307692307,0.204,0.12796,con_votes,12513.0
W07000058,2017,0.1768954800925398,0.1218116281244436,0.0987,0.0988,0.0993999999999999,0.0977,0.1177999999999999,0.1517,0.1397,0.1168999999999999,0.9750680012,0.0101111462,0.0021161786,0.0096759194,0.4997074457749125,0.33047738496511714,0.046641140958632185,0.12710992015617129,0.415,0.3562784615384615,0.282,0.3140184615384615,0.046,0.0759415384615384,0.256,0.2537646153846153,con_votes,14337.0
W07000058,2019,0.1806930517543286,0.1219413320161381,0.0974,0.0963,0.0951999999999999,0.1021,0.11,0.154,0.1391,0.1256,0.9739658196,0.0105508656,0.0022484378,0.0101005522,0.46510906789755807,0.3477998342923945,0.04968807661892634,0.10528674712273976,0.446,0.4132923076923077,0.426,0.4066476923076923,0.029,0.070036923076923,0.099,0.1100138461538461,con_votes,14687.0
W07000058,2024,0.1901869809088009,0.1222655917453744,0.0804,0.1047999999999999,0.1092,0.1066,0.1,0.1389999999999999,0.1436,0.1375999999999999,0.9712103656,0.0116501641,0.0025790858,0.0111621342,,,,,0.461,0.4274707692307692,0.397,0.32828,0.057,0.1084323076923076,0.085,0.1358107692307692,con_votes,
E14000530,2010,0.1686487789529622,0.1566231711421996,0.1281,0.1240999999999999,0.1484,0.1624,0.1567999999999999,0.1053,0.0912999999999999,0.0495,0.8624166972,0.093606923,0.0187602575,0.0209114844,0.49644976139978786,0.158537231549756,0.3964026930543338,0.041876551079381236,0.427,0.3079183673469388,0.206,0.3651255886970173,0.317,0.215916797488226,0.051,0.1108257456828885,con_votes,21203.0
E14000530,2015,0.1870426722301038,0.1564200160717202,0.132,0.1113,0.136,0.1485999999999999,0.1525999999999999,0.1284,0.093,0.0624,0.8270022512,0.114256128,0.02142555,0.0230687124,0.4530758022673159,0.1344086736730078,0.14066451043810646,0.12647702407002184,0.467,0.3463261538461538,0.121,0.30068,0.344,0.2249892307692307,0.068,0.12796,con_votes,23369.0
E14000530,2017,0.1944002295409605,0.1563387540435285,0.1311999999999999,0.1085,0.1329,0.1515,0.1467999999999999,0.1339,0.091,0.0673,0.8128364728,0.12251581,0.022491667,0.0239316036,0.6092818495472427,0.21445872854119308,0.08922653052955723,0.11072465701103984,0.506,0.3562784615384615,0.183,0.3140184615384615,0.088,0.0759415384615384,0.223,0.2537646153846153,con_votes,26950.0
E14000530,2019,0.2017577868518171,0.1562574920153367,0.1296,0.109,0.1217999999999999,0.1519,0.1432,0.1399,0.0919,0.0723,0.7986706944,0.130775492,0.023557784,0.0247944948,0.5746078394877905,0.2579923653436541,0.126790264475881,0.06274664727516814,0.551,0.4132923076923077,0.316,0.4066476923076923,0.074,0.070036923076923,0.059,0.1100138461538461,con_votes,27980.0
E14000530,2024,0.2201516801289588,0.1560543369448574,0.1265999999999999,0.119,0.1028,0.1423999999999999,0.1422000000000001,0.1503999999999999,0.1024,0.0857999999999999,0.7632562484000001,0.151424697,0.0262230764999999,0.0269517228,,,,,0.584,0.4274707692307692,0.235,0.32828,0.144,0.1084323076923076,0.037,0.1358107692307692,con_votes,
E14000531,2010,0.0807859384680372,0.1473288116008806,0.1003,0.1244999999999999,0.1009999999999999,0.1065,0.1578,0.1235999999999999,0.134,0.0971,0.9357550991,0.0382566282,0.0087909868,0.0147449952,0.5510941145281018,0.2578154008212052,0.15380924683180774,0.056656510283868734,0.474,0.3079183673469388,0.335,0.3651255886970173,0.123,0.215916797488226,0.069,0.1108257456828885,con_votes,22913.0
E14000531,2015,0.0938121368327162,0.1500991537984084,0.1073,0.111,0.1061999999999999,0.1042,0.1436,0.1418,0.118,0.1055,0.9134220386,0.0487948822,0.0133589327999999,0.0186436342,0.5753189523437223,0.21994146601037642,0.07237679752193268,0.059518599562363224,0.593,0.3463261538461538,0.198,0.30068,0.177,0.2249892307692307,0.032,0.12796,con_votes,20558.0
E14000531,2017,0.0990226161785879,0.1512072906774195,0.108,0.1088,0.1073,0.1063,0.1311,0.148,0.1149,0.1099,0.9044888144,0.0530101838,0.0151861112,0.0202030897999999,0.6261394501276012,0.2625068589793839,0.03447388679551075,0.1102281338854298,0.52,0.3562784615384615,0.224,0.3140184615384615,0.034,0.0759415384615384,0.222,0.2537646153846153,con_votes,26317.0
E14000531,2019,0.1042330955244595,0.1523154275564306,0.1089,0.1085999999999999,0.1052999999999999,0.1107,0.1217999999999999,0.1509,0.1128999999999999,0.1107,0.8955555902,0.0572254854,0.0170132896,0.0217625454,0.6820209201905897,0.2432965976974966,0.056541604428433416,0.014889034946650068,0.654,0.4132923076923077,0.298,0.4066476923076923,0.033,0.070036923076923,0.014,0.1100138461538461,con_votes,27850.0
E14000531,2024,0.1172592938891385,0.1550857697539585,0.1093999999999999,0.1156,0.1038,0.1221999999999999,0.1128,0.1513999999999999,0.1134,0.1021999999999999,0.8732225297,0.0677637394,0.0215812356,0.0256611843999999,,,,,0.708,0.4274707692307692,0.204,0.32828,0.06,0.1084323076923076,0.028,0.1358107692307692,con_votes,
E14000532,2010,0.1196720339015034,0.1257925123067187,0.1261,0.1215,0.0982,0.1329,0.1649999999999999,0.123,0.1110999999999999,0.0702,0.9142113873,0.0494035368,0.0090873411,0.0202186712,0.5394676564156945,0.2331882580561945,0.27135452489839257,0.013958850359793747,0.464,0.3079183673469388,0.303,0.3651255886970173,0.217,0.215916797488226,0.017,0.1108257456828885,con_votes,24176.0
E14000532,2015,0.1284456223557695,0.1206516068240802,0.1298,0.1231,0.0904,0.1278999999999999,0.155,0.1366,0.1059,0.0773,0.8648490208,0.0818632378,0.0124647056,0.0256569802,0.4744198443441488,0.24882266861779959,0.1042716574468522,0.059518599562363224,0.489,0.3463261538461538,0.224,0.30068,0.255,0.2249892307692307,0.032,0.12796,con_votes,26771.0
E14000532,2017,0.1319550577374759,0.1185952446310248,0.1321,0.126,0.086,0.1277,0.1516,0.1377,0.1027999999999999,0.0809,0.8451040742,0.0948471182,0.0138156514,0.0278323038,0.6381805933992859,0.31289880065846204,0.08517077914185009,0.05908625194759525,0.53,0.3562784615384615,0.267,0.3140184615384615,0.084,0.0759415384615384,0.119,0.2537646153846153,con_votes,26933.0
E14000532,2019,0.1354644931191823,0.1165388824379694,0.1285,0.1311,0.0847,0.1238,0.1497,0.1393,0.1015,0.0844999999999999,0.8253591276000001,0.1078309986,0.0151665972,0.0300076274,0.531851176295414,0.31677543592828417,0.1319304103330113,0.026587562404732264,0.51,0.4132923076923077,0.388,0.4066476923076923,0.077,0.070036923076923,0.025,0.1100138461538461,con_votes,26311.0
E14000532,2024,0.1442380815734484,0.1113979769553309,0.121,0.1456,0.0861999999999999,0.1097999999999999,0.1461999999999999,0.1428,0.1039999999999999,0.107,0.7759967611,0.1402906996,0.0185439617,0.0354459364,,,,,0.48,0.4274707692307692,0.368,0.32828,0.11,0.1084323076923076,0.041,0.1358107692307692,con_votes,
W07000043,2010,0.1105395713046612,0.1513985893627976,0.1185,0.1227,0.1192,0.128,0.1568999999999999,0.1219,0.1191,0.0704999999999999,0.9832336541,0.0094428429,0.0008102923999999,0.0058759664999999,0.2929867444326617,0.3755639271664123,0.2175838125913378,0.06979425179896864,0.252,0.3079183673469388,0.488,0.3651255886970173,0.174,0.215916797488226,0.0849999999999999,0.1108257456828885,con_votes,12885.0
W07000043,2015,0.1231616793935638,0.1455115110241854,0.1207,0.1127,0.124,0.123,0.1439,0.1339,0.1175,0.0809,0.9779192736,0.0104681284,0.0015464203999999,0.007827569,0.31336934503713715,0.43988293202075285,0.07483024828538803,0.18413566739606121,0.323,0.3463261538461538,0.396,0.30068,0.183,0.2249892307692307,0.099,0.12796,con_votes,13197.0
W07000043,2017,0.1282105226291249,0.1431566796887405,0.1204,0.1119,0.1222,0.1288,0.1354,0.1368,0.1117,0.0871,0.9757935214,0.0108782426,0.0018408716,0.00860821,0.38411247036674,0.4687622481774712,0.042585389570925045,0.1181725038951905,0.319,0.3562784615384615,0.4,0.3140184615384615,0.042,0.0759415384615384,0.238,0.2537646153846153,con_votes,18080.0
W07000043,2019,0.133259365864686,0.1408018483532956,0.1177999999999999,0.115,0.1141,0.1336,0.1291,0.1405,0.1089,0.0929,0.9736677692,0.0112883568,0.0021353228,0.009388851,0.4213095592614652,0.42536083020267024,0.041121166857042486,0.054238627305653805,0.404,0.4132923076923077,0.521,0.4066476923076923,0.024,0.070036923076923,0.051,0.1100138461538461,con_votes,18058.0
W07000043,2024,0.1458814739535886,0.1349147700146833,0.0938,0.1249999999999999,0.1186,0.1356,0.1186,0.1429999999999998,0.1044,0.0984,0.9683533887,0.0123136423,0.0028714508,0.0113404535,,,,,0.42,0.4274707692307692,0.425,0.32828,0.059,0.1084323076923076,0.096,0.1358107692307692,con_votes,
E14000533,2010,0.1134595180423493,0.1459048800545077,0.1048999999999999,0.1188999999999999,0.1095,0.1204999999999999,0.1617999999999999,0.129,0.1344999999999999,0.0722,0.9845925167,0.0065685381,0.0019416506,0.0061923952999999,0.399950159066808,0.3509367844014017,0.16381310028428306,0.056656510283868734,0.344,0.3079183673469388,0.456,0.3651255886970173,0.131,0.215916797488226,0.069,0.1108257456828885,con_votes,17746.0
